,tweet_id,favorites,retweet_count
1347,759447681597108224,9244,2744
1348,759557299618865152,5102,1313
1349,759566828574212096,0,23684
1350,759793422261743616,6488,2130
1351,759846353224826880,7300,2214
1352,759923798737051648,15970,6352
1353,760190180481531904,6206,2022
1354,760252756032651264,4276,966
1355,760290219849637889,29104,12824
1356,760539183865880579,8242,4055
1357,760641137271070720,5382,1446
1358,760656994973933572,7191,2152
1359,760893934457552897,4156,1084
1360,761004547850530816,12249,3860
1361,761227390836215808,5782,1727
1362,761292947749015552,4864,1233
1363,761334018830917632,5679,1616
1364,761371037149827077,0,20023
1365,761599872357261312,4495,1313
1366,761672994376806400,53871,32525
1367,761745352076779520,4635,957
1368,761750502866649088,0,4423
1369,761976711479193600,5883,2258
1370,762035686371364864,34787,17475
1371,762316489655476224,5253,1262
1372,762464539388485633,11272,4716
1373,762471784394268675,12296,7324
1374,762699858130116608,13261,4064
1375,763103485927849985,7998,2544
1376,763183847194451968,5904,1658
1377,763837565564780549,13735,4683
1378,764259802650378240,6586,1703
1379,764857477905154048,6971,1972
